team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
Houston Astros,Astrodome,1469247,1972,NL,HOU,3,153,84,69,708,5267,1359,114,3.77,38,14,31,4155,1340,114,498,971,0.98,98
Atlanta Braves,Atlanta-Fulton County Stadium,752973,1972,NL,ATL,4,155,70,84,628,5278,1363,156,4.27,40,4,27,4131,1412,155,512,732,0.97,109
San Francisco Giants,Candlestick Park,647744,1972,NL,SFN,5,155,69,86,662,5245,1281,154,3.69,44,8,23,4158,1309,130,507,771,0.97,102
San Diego Padres,Jack Murphy Stadium,644273,1972,NL,SDN,6,153,58,95,488,5213,1181,144,3.78,39,17,19,4209,1350,121,618,960,0.97,92
Baltimore Orioles,Memorial Stadium,958667,1973,AL,BAL,1,162,97,65,754,5537,1474,119,3.07,67,14,26,4383,1297,124,475,715,0.98,99
Boston Red Sox,Fenway Park II,1481002,1973,AL,BOS,2,162,89,73,738,5513,1472,127,3.65,67,10,33,4320,1417,158,499,808,0.97,106
Detroit Tigers,Tiger Stadium,1724146,1973,AL,DET,3,162,85,77,642,5508,1400,112,3.9,39,11,46,4341,1468,154,493,911,0.98,106
New York Yankees,Yankee Stadium I,1262103,1973,AL,NYA,4,162,80,82,641,5492,1435,156,3.34,47,16,39,4281,1379,109,457,708,0.97,97
Milwaukee Brewers,County Stadium,1092158,1973,AL,ML4,5,162,74,88,708,5526,1399,145,3.98,50,11,28,4362,1476,119,623,671,0.97,97
Cleveland Indians,Cleveland Stadium,615107,1973,AL,CLE,6,162,71,91,680,5592,1429,138,4.58,55,9,21,4392,1532,172,602,883,0.97,103
Oakland Athletics,Oakland Coliseum,1000763,1973,AL,OAK,1,162,94,68,758,5507,1431,137,3.29,46,16,41,4371,1311,143,494,797,0.97,95
Kansas City Royals,Royals Stadium,1345341,1973,AL,KCA,2,162,88,74,755,5508,1440,167,4.19,40,7,41,4347,1521,114,617,790,0.97,106
Minnesota Twins,Metropolitan Stadium,907499,1973,AL,MIN,3,162,81,81,738,5625,1521,139,3.77,48,18,34,4353,1443,115,519,879,0.97,104
California Angels,Anaheim Stadium,1058206,1973,AL,CAL,4,162,79,83,629,5505,1395,156,3.53,72,13,19,4368,1351,104,614,1010,0.97,92
Chicago White Sox,Comiskey Park,1302527,1973,AL,CHA,5,162,77,85,652,5475,1400,144,3.86,48,15,35,4368,1484,110,574,848,0.97,105
Texas Rangers,Arlington Stadium,686085,1973,AL,TEX,6,162,57,105,619,5488,1397,161,4.64,35,10,27,4290,1514,130,680,831,0.97,95
New York Mets,Shea Stadium,1912390,1973,NL,NYN,1,161,82,79,608,5457,1345,126,3.26,47,15,40,4395,1345,127,490,1027,0.98,98
St. Louis Cardinals,Busch Stadium II,1574046,1973,NL,SLN,2,162,81,81,643,5478,1418,158,3.25,42,14,36,4380,1366,105,486,867,0.97,100
Pittsburgh Pirates,Three Rivers Stadium,1319913,1973,NL,PIT,3,162,80,82,704,5608,1465,151,3.73,26,11,44,4350,1426,110,564,839,0.97,98
Montreal Expos,Jarry Park,1246863,1973,NL,MON,4,162,79,83,668,5369,1345,163,3.71,26,6,38,4353,1356,128,681,866,0.97,103
Chicago Cubs,Wrigley Field,1351705,1973,NL,CHN,5,161,77,84,614,5363,1322,157,3.66,27,13,40,4311,1471,128,438,885,0.97,107
Philadelphia Phillies,Veterans Stadium,1475934,1973,NL,PHI,6,162,71,91,642,5546,1381,134,3.99,49,11,22,4341,1435,131,632,919,0.97,102
Cincinnati Reds,Riverfront Stadium,2017601,1973,NL,CIN,1,162,99,63,741,5505,1398,115,3.4,39,17,43,4419,1389,135,518,801,0.98,95
Los Angeles Dodgers,Dodger Stadium,2136192,1973,NL,LAN,2,162,95,66,675,5604,1473,125,3,45,15,38,4473,1270,129,461,961,0.98,97
San Francisco Giants,Candlestick Park,834193,1973,NL,SFN,3,162,88,74,739,5537,1452,163,3.79,33,8,44,4356,1442,145,485,787,0.97,105
Houston Astros,Astrodome,1394004,1973,NL,HOU,4,162,82,80,681,5532,1391,112,3.75,45,14,26,4380,1389,111,575,907,0.98,99
Atlanta Braves,Atlanta-Fulton County Stadium,800655,1973,NL,ATL,5,162,76,85,799,5631,1497,166,4.25,34,9,35,4386,1467,144,575,803,0.97,108
San Diego Padres,Jack Murphy Stadium,611826,1973,NL,SDN,6,162,60,102,548,5457,1330,170,4.16,34,10,23,4290,1461,157,548,845,0.97,91
Baltimore Orioles,Memorial Stadium,962572,1974,AL,BAL,1,162,91,71,659,5535,1418,128,3.27,57,16,25,4422,1393,101,480,701,0.98,97
New York Yankees,Shea Stadium,1273075,1974,AL,NYA,2,162,89,73,671,5524,1451,142,3.31,53,13,24,4365,1402,104,528,829,0.97,99
Boston Red Sox,Fenway Park II,1556411,1974,AL,BOS,3,162,84,78,696,5499,1449,145,3.72,71,12,18,4365,1462,126,463,751,0.97,108
Cleveland Indians,Cleveland Stadium,1114262,1974,AL,CLE,4,162,77,85,662,5474,1395,143,3.8,45,9,27,4335,1419,138,479,650,0.97,99
Milwaukee Brewers,County Stadium,955741,1974,AL,ML4,5,162,76,86,647,5472,1335,127,3.76,43,11,24,4371,1476,126,493,621,0.98,99
Detroit Tigers,Tiger Stadium,1243080,1974,AL,DET,6,162,72,90,620,5568,1375,158,4.16,54,7,15,4365,1443,148,621,869,0.97,102
Oakland Athletics,Oakland Coliseum,845693,1974,AL,OAK,1,162,90,72,689,5331,1315,141,2.95,49,12,28,4317,1322,90,430,755,0.97,94
Texas Rangers,Arlington Stadium,1193902,1974,AL,TEX,2,161,84,76,690,5449,1482,163,3.82,62,16,12,4299,1423,126,449,871,0.97,97
Minnesota Twins,Metropolitan Stadium,662401,1974,AL,MIN,3,163,82,80,673,5632,1530,151,3.64,43,11,29,4365,1436,115,513,934,0.97,104
Chicago White Sox,Comiskey Park,1149596,1974,AL,CHA,4,163,80,80,684,5577,1492,147,3.94,55,11,29,4395,1470,103,548,826,0.97,103
Kansas City Royals,Royals Stadium,1173292,1974,AL,KCA,5,162,77,85,667,5582,1448,152,3.51,54,13,17,4413,1477,91,482,731,0.97,105
California Angels,Anaheim Stadium,917269,1974,AL,CAL,6,163,68,94,618,5401,1372,147,3.52,64,13,12,4317,1339,101,649,986,0.97,94
Pittsburgh Pirates,Three Rivers Stadium,1110552,1974,NL,PIT,1,162,88,74,751,5702,1560,162,3.49,51,9,17,4398,1428,93,543,721,0.97,97
St. Louis Cardinals,Busch Stadium II,1838413,1974,NL,SLN,2,161,86,75,677,5620,1492,147,3.48,37,13,20,4419,1399,97,616,794,0.97,100
Philadelphia Phillies,Veterans Stadium,1808648,1974,NL,PHI,3,162,80,82,676,5494,1434,148,3.91,46,4,19,4341,1394,111,682,892,0.97,104
Montreal Expos,Jarry Park,1019134,1974,NL,MON,4,161,79,82,662,5343,1355,153,3.6,35,8,27,4287,1340,99,544,822,0.97,105
