team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
San Francisco Giants,Candlestick Park,1975528,1990,NL,SFN,3,162,85,77,719,5573,1459,107,4.08,14,6,45,4338,1477,131,553,788,0.98,96
Houston Astros,Astrodome,1310927,1990,NL,HOU,4,162,75,87,573,5379,1301,131,3.61,12,6,37,4350,1396,130,496,854,0.97,97
San Diego Padres,Jack Murphy Stadium,1856396,1990,NL,SDN,4,162,75,87,673,5554,1429,141,3.68,21,12,35,4383,1437,147,507,928,0.97,101
Atlanta Braves,Atlanta-Fulton County Stadium,980129,1990,NL,ATL,6,162,65,97,682,5504,1376,158,4.58,17,8,30,4287,1527,128,579,938,0.97,105
Toronto Blue Jays,Skydome,4001527,1991,AL,TOR,1,162,91,71,684,5489,1412,127,3.5,10,16,60,4386,1301,121,523,971,0.98,104
Boston Red Sox,Fenway Park II,2562435,1991,AL,BOS,2,162,84,78,731,5530,1486,116,4.01,15,13,45,4317,1405,147,530,999,0.98,105
Detroit Tigers,Tiger Stadium,1641661,1991,AL,DET,2,162,84,78,817,5547,1372,104,4.51,18,8,38,4350,1570,148,593,739,0.98,102
Milwaukee Brewers,County Stadium,1478729,1991,AL,ML4,4,162,83,79,799,5611,1523,118,4.14,23,11,41,4389,1498,147,527,859,0.98,98
New York Yankees,Yankee Stadium II,1863733,1991,AL,NYA,5,162,71,91,674,5541,1418,133,4.42,3,11,37,4332,1510,152,506,936,0.97,100
Baltimore Orioles,Memorial Stadium,2552753,1991,AL,BAL,6,162,67,95,686,5604,1421,89,4.59,8,8,42,4371,1534,147,504,868,0.98,96
Cleveland Indians,Cleveland Stadium,1051863,1991,AL,CLE,7,162,57,105,576,5470,1390,142,4.23,22,8,33,4323,1551,110,441,862,0.97,101
Minnesota Twins,Hubert H Humphrey Metrodome,2293842,1991,AL,MIN,1,162,95,67,776,5556,1557,94,3.69,21,12,53,4347,1402,139,488,876,0.98,105
Chicago White Sox,Comiskey Park II,2934154,1991,AL,CHA,2,162,87,75,758,5594,1464,116,3.79,28,8,40,4434,1302,154,601,923,0.98,98
Texas Rangers,Arlington Stadium,2297720,1991,AL,TEX,3,162,85,77,829,5703,1539,134,4.47,9,10,41,4437,1486,151,662,1022,0.97,98
Oakland Athletics,Oakland Coliseum,2713493,1991,AL,OAK,4,162,84,78,760,5410,1342,107,4.57,14,10,49,4332,1425,155,655,892,0.98,94
Seattle Mariners,Kingdome,2147905,1991,AL,SEA,5,162,83,79,702,5494,1400,110,3.79,10,13,48,4392,1387,136,628,1003,0.98,100
Kansas City Royals,Royals Stadium,2161537,1991,AL,KCA,6,162,82,80,727,5584,1475,125,3.92,17,12,41,4398,1473,105,529,1004,0.98,100
California Angels,Anaheim Stadium,2416236,1991,AL,CAL,7,162,81,81,653,5470,1396,102,3.69,18,10,50,4323,1351,141,543,990,0.98,99
Pittsburgh Pirates,Three Rivers Stadium,2065302,1991,NL,PIT,1,162,98,64,768,5449,1433,120,3.44,18,11,51,4368,1411,117,401,919,0.98,99
St. Louis Cardinals,Busch Stadium II,2448699,1991,NL,SLN,2,162,84,78,651,5362,1366,105,3.69,9,5,51,4305,1367,114,454,822,0.98,100
Philadelphia Phillies,Veterans Stadium,2050012,1991,NL,PHI,3,162,78,84,629,5521,1332,116,3.86,16,11,35,4389,1346,111,670,988,0.98,99
Chicago Cubs,Wrigley Field,2314250,1991,NL,CHN,4,160,77,83,695,5522,1395,113,4.03,12,4,40,4368,1415,117,542,927,0.98,104
New York Mets,Shea Stadium,2284484,1991,NL,NYN,5,161,77,84,640,5359,1305,143,3.56,12,11,39,4311,1403,108,410,1028,0.97,99
Montreal Expos,Stade Olympique,934742,1991,NL,MON,6,161,71,90,579,5412,1329,131,3.64,12,14,39,4320,1304,111,584,909,0.97,99
Atlanta Braves,Atlanta-Fulton County Stadium,2140217,1991,NL,ATL,1,162,94,68,749,5456,1407,138,3.49,18,7,48,4356,1304,118,481,969,0.97,106
Los Angeles Dodgers,Dodger Stadium,3348170,1991,NL,LAN,2,162,93,69,665,5408,1366,123,3.06,15,14,40,4374,1312,96,500,1028,0.98,98
San Diego Padres,Jack Murphy Stadium,1804289,1991,NL,SDN,3,162,84,78,636,5408,1321,113,3.57,14,11,47,4356,1385,139,457,921,0.98,103
San Francisco Giants,Candlestick Park,1737478,1991,NL,SFN,4,162,75,87,649,5463,1345,108,4.03,10,10,45,4326,1397,143,544,905,0.98,96
Cincinnati Reds,Riverfront Stadium,2372377,1991,NL,CIN,5,162,74,88,689,5501,1419,125,3.83,7,11,43,4320,1372,127,560,997,0.97,104
Houston Astros,Astrodome,1196152,1991,NL,HOU,6,162,65,97,605,5504,1345,161,4,7,13,36,4359,1347,129,651,1033,0.97,93
Toronto Blue Jays,Skydome,4028318,1992,AL,TOR,1,162,96,66,780,5536,1458,93,3.91,18,14,49,4320,1346,124,541,954,0.98,105
Milwaukee Brewers,County Stadium,1857351,1992,AL,ML4,2,162,92,70,740,5504,1477,89,3.43,19,14,39,4371,1344,127,435,793,0.98,99
Baltimore Orioles,Oriole Park at Camden Yards,3567819,1992,AL,BAL,3,162,89,73,705,5485,1423,93,3.79,20,16,48,4392,1419,124,518,846,0.98,102
Cleveland Indians,Cleveland Stadium,1224094,1992,AL,CLE,4,162,76,86,674,5620,1495,141,4.11,13,7,46,4410,1507,159,566,890,0.97,99
New York Yankees,Yankee Stadium II,1748737,1992,AL,NYA,4,162,76,86,733,5593,1462,112,4.21,20,9,44,4356,1453,129,612,851,0.98,100
Detroit Tigers,Tiger Stadium,1423963,1992,AL,DET,6,162,75,87,791,5515,1411,116,4.6,10,4,36,4305,1534,155,564,693,0.98,101
Boston Red Sox,Fenway Park II,2468574,1992,AL,BOS,7,162,73,89,599,5461,1343,139,3.58,22,13,39,4344,1403,107,535,943,0.97,106
Oakland Athletics,Oakland Coliseum,2494160,1992,AL,OAK,1,162,96,66,745,5387,1389,125,3.73,8,9,58,4341,1396,129,601,843,0.97,94
Minnesota Twins,Hubert H Humphrey Metrodome,2482428,1992,AL,MIN,2,162,90,72,747,5582,1544,94,3.7,16,13,50,4359,1391,121,479,923,0.98,103
Chicago White Sox,Comiskey Park II,2681156,1992,AL,CHA,3,162,86,76,738,5498,1434,129,3.82,21,5,52,4383,1400,123,550,810,0.97,99
Texas Rangers,Arlington Stadium,2198231,1992,AL,TEX,4,162,77,85,682,5537,1387,153,4.09,19,3,42,4380,1471,113,598,1034,0.97,97
California Angels,Anaheim Stadium,2065444,1992,AL,CAL,5,162,72,90,579,5364,1306,134,3.84,26,13,42,4338,1449,130,532,888,0.97,100
Kansas City Royals,Royals Stadium,1867689,1992,AL,KCA,5,162,72,90,610,5501,1411,122,3.81,9,12,44,4341,1426,106,512,834,0.98,102
Seattle Mariners,Kingdome,1651367,1992,AL,SEA,7,162,64,98,679,5564,1466,112,4.55,21,9,30,4335,1467,129,661,894,0.98,100
Pittsburgh Pirates,Three Rivers Stadium,1829395,1992,NL,PIT,1,162,96,66,693,5527,1409,101,3.35,20,20,43,4437,1410,101,455,844,0.98,99
Montreal Expos,Stade Olympique,1669127,1992,NL,MON,2,162,87,75,648,5477,1381,124,3.25,11,14,49,4404,1296,92,525,1014,0.98,99
St. Louis Cardinals,Busch Stadium II,2418483,1992,NL,SLN,3,162,83,79,631,5594,1464,91,3.38,10,9,47,4440,1405,118,400,842,0.98,97
Chicago Cubs,Wrigley Field,2126720,1992,NL,CHN,4,162,78,84,593,5590,1420,114,3.39,16,11,37,4407,1337,107,575,901,0.98,102
New York Mets,Shea Stadium,1779534,1992,NL,NYN,5,162,72,90,599,5340,1254,116,3.66,17,13,34,4338,1404,98,482,1025,0.98,99
Philadelphia Phillies,Veterans Stadium,1927448,1992,NL,PHI,6,162,70,92,686,5500,1392,131,4.11,27,7,34,4284,1387,113,549,851,0.97,100
Atlanta Braves,Atlanta-Fulton County Stadium,3077400,1992,NL,ATL,1,162,98,64,682,5480,1391,109,3.14,26,24,41,4380,1321,89,489,948,0.98,107
Cincinnati Reds,Riverfront Stadium,2315946,1992,NL,CIN,2,162,90,72,660,5460,1418,96,3.46,9,11,55,4347,1362,109,470,1060,0.98,103
San Diego Padres,Jack Murphy Stadium,1721406,1992,NL,SDN,3,162,82,80,617,5476,1396,115,3.56,9,11,46,4383,1444,111,439,971,0.98,101
Houston Astros,Astrodome,1211412,1992,NL,HOU,4,162,81,81,608,5480,1350,112,3.72,5,12,45,4377,1386,114,539,978,0.98,95
San Francisco Giants,Candlestick Park,1560998,1992,NL,SFN,5,162,72,90,574,5456,1330,111,3.61,9,12,30,4383,1385,128,502,927,0.98,94
Los Angeles Dodgers,Dodger Stadium,2473266,1992,NL,LAN,6,162,63,99,548,5368,1333,173,3.41,18,13,29,4314,1401,82,553,981,0.97,99
Toronto Blue Jays,Skydome,4057947,1993,AL,TOR,1,162,95,67,847,5579,1556,107,4.21,11,11,50,4323,1441,134,620,1023,0.98,101
New York Yankees,Yankee Stadium II,2416942,1993,AL,NYA,2,162,88,74,821,5615,1568,101,4.35,11,13,38,4314,1467,170,552,899,0.98,97
Baltimore Orioles,Oriole Park at Camden Yards,3644965,1993,AL,BAL,3,162,85,77,786,5508,1470,100,4.31,21,10,42,4326,1427,153,579,900,0.98,104
Detroit Tigers,Tiger Stadium,1971421,1993,AL,DET,3,162,85,77,899,5620,1546,132,4.65,11,7,36,4308,1547,188,542,828,0.97,99
Boston Red Sox,Fenway Park II,2422021,1993,AL,BOS,5,162,80,82,686,5496,1451,122,3.77,9,11,44,4356,1379,127,552,997,0.98,106
Cleveland Indians,Cleveland Stadium,2177908,1993,AL,CLE,6,162,76,86,790,5619,1547,148,4.58,7,8,45,4335,1591,182,591,888,0.97,100
Milwaukee Brewers,County Stadium,1688080,1993,AL,ML4,7,162,69,93,733,5525,1426,131,4.45,26,6,29,4341,1511,153,522,810,0.97,99
Chicago White Sox,Comiskey Park II,2581091,1993,AL,CHA,1,162,94,68,776,5483,1454,112,3.7,16,11,48,4362,1398,125,566,974,0.98,98
Texas Rangers,Arlington Stadium,2244616,1993,AL,TEX,2,162,86,76,835,5510,1472,130,4.28,20,6,45,4314,1476,144,562,957,0.97,96
Kansas City Royals,Kauffman Stadium,1934578,1993,AL,KCA,3,162,84,78,675,5522,1455,96,4.04,16,6,48,4335,1379,105,571,985,0.98,106
Seattle Mariners,Kingdome,2052638,1993,AL,SEA,4,162,82,80,734,5494,1429,90,4.2,22,10,41,4359,1421,135,605,1083,0.98,101
California Angels,Anaheim Stadium,2057460,1993,AL,CAL,5,162,71,91,684,5391,1399,120,4.34,26,6,41,4290,1482,153,550,843,0.98,103
Minnesota Twins,Hubert H Humphrey Metrodome,2048673,1993,AL,MIN,5,162,71,91,693,5601,1480,100,4.71,5,3,44,4332,1591,148,514,901,0.98,100
Oakland Athletics,Oakland Coliseum,2035025,1993,AL,OAK,7,162,68,94,715,5543,1408,111,4.9,8,2,42,4356,1551,157,680,864,0.98,94
Philadelphia Phillies,Veterans Stadium,3137674,1993,NL,PHI,1,162,97,65,877,5685,1555,141,3.95,24,11,46,4416,1419,129,573,1117,0.97,99
Montreal Expos,Stade Olympique,1641437,1993,NL,MON,2,163,94,68,732,5493,1410,159,3.55,8,7,61,4368,1369,119,521,934,0.97,105
St. Louis Cardinals,Busch Stadium II,2844977,1993,NL,SLN,3,162,87,75,758,5551,1508,159,4.09,5,7,54,4359,1553,152,383,775,0.97,98
Chicago Cubs,Wrigley Field,2653763,1993,NL,CHN,4,163,84,78,738,5627,1521,115,4.18,8,5,56,4347,1514,153,470,905,0.98,98
Pittsburgh Pirates,Three Rivers Stadium,1650593,1993,NL,PIT,5,162,75,87,707,5549,1482,105,4.77,12,5,34,4335,1557,153,485,832,0.98,99
Florida Marlins,Joe Robbie Stadium,3064847,1993,NL,FLO,6,162,64,98,581,5475,1356,122,4.13,4,5,48,4320,1437,135,598,945,0.98,104
New York Mets,Shea Stadium,1873183,1993,NL,NYN,7,162,59,103,672,5448,1350,156,4.05,16,8,22,4314,1483,139,434,867,0.97,99
Atlanta Braves,Atlanta-Fulton County Stadium,3884720,1993,NL,ATL,1,162,104,58,767,5515,1444,108,3.14,18,16,46,4365,1297,101,480,1036,0.98,101
San Francisco Giants,Candlestick Park,2606354,1993,NL,SFN,2,162,103,59,808,5557,1534,101,3.61,4,9,50,4368,1385,168,442,982,0.98,97
Houston Astros,Astrodome,2084618,1993,NL,HOU,3,162,85,77,716,5464,1459,125,3.49,18,14,42,4323,1363,117,476,1056,0.97,96
Los Angeles Dodgers,Dodger Stadium,3170393,1993,NL,LAN,4,162,81,81,675,5588,1458,132,3.5,17,9,36,4416,1406,103,567,1043,0.97,95
Cincinnati Reds,Riverfront Stadium,2453232,1993,NL,CIN,5,162,73,89,722,5517,1457,120,4.51,11,8,37,4302,1510,158,508,996,0.98,101
Colorado Rockies,Mile High Stadium,4483350,1993,NL,COL,6,162,67,95,758,5517,1507,167,5.41,9,0,35,4293,1664,181,609,913,0.97,117
San Diego Padres,Jack Murphy Stadium,1375432,1993,NL,SDN,7,162,61,101,679,5503,1386,160,4.23,8,6,32,4311,1470,148,558,957,0.97,102
Chicago White Sox,Comiskey Park II,1697398,1994,AL,CHA,1,113,67,46,633,3942,1133,79,3.95,13,6,20,3034,964,115,377,754,0.98,99
Cleveland Indians,Jacobs Field,1995174,1994,AL,CLE,2,113,66,47,679,4022,1165,90,4.36,17,5,21,3054,1097,94,404,666,0.98,99
Kansas City Royals,Kauffman Stadium,1400494,1994,AL,KCA,3,115,64,51,574,3911,1051,80,4.23,5,3,38,3093,1018,95,392,717,0.98,104
Minnesota Twins,Hubert H Humphrey Metrodome,1398565,1994,AL,MIN,4,113,53,60,594,3952,1092,75,5.68,6,2,29,3015,1197,153,388,602,0.98,100
Milwaukee Brewers,County Stadium,1268399,1994,AL,ML4,5,115,53,62,547,3978,1045,85,4.62,11,1,23,3108,1071,127,421,577,0.98,104
New York Yankees,Yankee Stadium II,1675556,1994,AL,NYA,1,113,70,43,670,3986,1155,80,4.34,8,0,31,3057,1045,120,398,656,0.98,97
Baltimore Orioles,Oriole Park at Camden Yards,2535359,1994,AL,BAL,2,112,63,49,589,3856,1047,57,4.31,13,3,37,2991,1005,131,351,666,0.98,105
Toronto Blue Jays,Skydome,2907933,1994,AL,TOR,3,115,55,60,566,3962,1064,80,4.7,13,4,26,3075,1053,127,482,832,0.98,100
Boston Red Sox,Fenway Park II,1775818,1994,AL,BOS,4,115,54,61,552,3940,1038,81,4.93,6,1,30,3087,1104,120,450,729,0.98,105
Detroit Tigers,Tiger Stadium,1184783,1994,AL,DET,5,115,53,62,652,3955,1048,82,5.38,15,1,20,3054,1139,148,449,560,0.98,101
Texas Rangers,The Ballpark at Arlington,2503198,1994,AL,TEX,1,114,52,62,613,3983,1114,105,5.45,10,3,26,3069,1176,157,394,683,0.97,100
Oakland Athletics,Oakland Coliseum,1242692,1994,AL,OAK,2,114,51,63,549,3885,1009,88,4.82,12,3,23,3009,979,128,510,732,0.97,91
Seattle Mariners,Kingdome,1104206,1994,AL,SEA,3,112,49,63,569,3883,1045,95,4.99,13,4,21,2952,1051,109,486,763,0.97,102
California Angels,Anaheim Stadium,1512622,1994,AL,CAL,4,115,47,68,543,3943,1042,76,5.42,11,3,21,3081,1149,150,436,682,0.98,101
Cincinnati Reds,Riverfront Stadium,1897681,1994,NL,CIN,1,115,66,48,609,3999,1142,73,3.78,6,2,27,3114,1037,117,339,799,0.98,99
Houston Astros,Astrodome,1561136,1994,NL,HOU,2,115,66,49,602,3955,1099,72,3.97,9,3,29,3087,1043,102,367,739,0.98,95
Pittsburgh Pirates,Three Rivers Stadium,1222520,1994,NL,PIT,3,114,53,61,466,3864,1001,89,4.64,8,1,24,3015,1094,117,370,650,0.98,101
St. Louis Cardinals,Busch Stadium II,1866544,1994,NL,SLN,3,115,53,61,535,3902,1026,80,5.14,7,3,29,3054,1154,134,355,632,0.98,98
Chicago Cubs,Wrigley Field,1845208,1994,NL,CHN,5,113,49,64,500,3918,1015,81,4.47,5,1,27,3069,1054,120,392,717,0.98,99
Montreal Expos,Stade Olympique,1276250,1994,NL,MON,1,114,74,40,585,4000,1111,94,3.56,4,2,46,3108,970,100,288,805,0.97,101
Atlanta Braves,Atlanta-Fulton County Stadium,2539240,1994,NL,ATL,2,114,68,46,542,3861,1031,81,3.57,16,4,26,3078,929,76,378,865,0.98,102
New York Mets,Shea Stadium,1151471,1994,NL,NYN,3,113,55,58,506,3869,966,89,4.13,7,2,35,3069,1069,117,332,640,0.98,99
Philadelphia Phillies,Veterans Stadium,2290971,1994,NL,PHI,4,115,54,61,521,3927,1028,94,3.85,7,1,30,3072,1028,98,377,699,0.97,102
Florida Marlins,Joe Robbie Stadium,1937467,1994,NL,FLO,5,115,51,64,468,3926,1043,95,4.5,5,3,30,3045,1069,120,428,649,0.97,102
Los Angeles Dodgers,Dodger Stadium,2279355,1994,NL,LAN,1,114,58,56,532,3904,1055,88,4.23,14,4,20,3042,1041,90,354,732,0.98,94
San Francisco Giants,Candlestick Park,1704608,1994,NL,SFN,2,115,55,60,504,3869,963,68,3.99,2,0,33,3075,1014,122,372,655,0.98,94
Colorado Rockies,Mile High Stadium,3281511,1994,NL,COL,3,117,53,64,573,4006,1098,84,5.15,4,1,28,3093,1185,120,448,703,0.98,117
San Diego Padres,Jack Murphy Stadium,953857,1994,NL,SDN,4,117,47,70,479,4068,1117,111,4.08,8,3,27,3135,1008,99,393,862,0.97,97
Cleveland Indians,Jacobs Field,2842745,1995,AL,CLE,1,144,100,44,840,5028,1461,101,3.83,10,10,50,3903,1261,135,445,926,0.98,101
Kansas City Royals,Kauffman Stadium,1233530,1995,AL,KCA,2,144,70,74,629,4903,1275,90,4.49,11,10,37,3864,1323,142,503,763,0.98,101
Chicago White Sox,Comiskey Park II,1609773,1995,AL,CHA,3,145,68,76,755,5060,1417,108,4.85,12,4,36,3852,1374,164,617,892,0.98,96
Milwaukee Brewers,County Stadium,1087560,1995,AL,ML4,4,144,65,79,740,5000,1329,105,4.82,7,4,31,3858,1391,146,603,699,0.98,105
Minnesota Twins,Hubert H Humphrey Metrodome,1057667,1995,AL,MIN,5,144,56,88,703,5005,1398,100,5.76,7,2,27,3816,1450,210,533,790,0.98,101
Boston Red Sox,Fenway Park II,2164410,1995,AL,BOS,1,144,86,58,791,4997,1399,120,4.39,7,9,39,3876,1338,127,476,888,0.97,103
New York Yankees,Yankee Stadium II,1705263,1995,AL,NYA,2,145,79,65,749,4947,1365,73,4.56,18,5,35,3852,1286,159,535,908,0.98,99
Baltimore Orioles,Oriole Park at Camden Yards,3098475,1995,AL,BAL,3,144,71,73,704,4837,1267,72,4.31,19,10,29,3801,1165,149,523,930,0.98,102
Detroit Tigers,Tiger Stadium,1180979,1995,AL,DET,4,144,60,84,654,4865,1204,106,5.49,5,3,38,3825,1509,170,536,729,0.98,100
Toronto Blue Jays,Skydome,2826483,1995,AL,TOR,5,144,56,88,642,5036,1309,97,4.88,16,8,22,3876,1336,145,654,894,0.98,99
Seattle Mariners,Kingdome,1643203,1995,AL,SEA,1,145,79,66,796,4996,1377,104,4.5,9,8,39,3868,1343,149,591,1068,0.98,101
California Angels,Anaheim Stadium,1748680,1995,AL,CAL,2,145,78,67,801,5019,1390,95,4.52,8,9,42,3852,1310,163,486,901,0.98,99
Texas Rangers,The Ballpark at Arlington,1985910,1995,AL,TEX,3,144,74,70,691,4913,1304,98,4.66,14,4,34,3855,1385,152,514,838,0.98,103
Oakland Athletics,Oakland Coliseum,1174310,1995,AL,OAK,4,144,67,77,730,4916,1296,101,4.93,8,4,34,3819,1320,153,556,890,0.98,91
Cincinnati Reds,Riverfront Stadium,1837649,1995,NL,CIN,1,144,85,59,747,4903,1326,79,4.03,8,10,38,3867,1270,131,424,903,0.98,100
Houston Astros,Astrodome,1363801,1995,NL,HOU,2,144,76,68,747,5097,1403,121,4.06,6,8,32,3960,1357,118,460,1056,0.97,93
Chicago Cubs,Wrigley Field,1918265,1995,NL,CHN,3,144,73,71,693,4963,1315,115,4.13,6,12,45,3903,1313,162,518,926,0.97,98
St. Louis Cardinals,Busch Stadium II,1756727,1995,NL,SLN,4,143,62,81,563,4779,1182,113,4.09,4,6,38,3795,1290,135,445,842,0.98,99
Pittsburgh Pirates,Three Rivers Stadium,905517,1995,NL,PIT,5,144,58,86,629,4937,1281,121,4.7,11,7,29,3825,1407,130,477,871,0.97,102
Atlanta Braves,Atlanta-Fulton County Stadium,2561831,1995,NL,ATL,1,144,90,54,645,4814,1202,100,3.44,18,11,34,3873,1184,107,436,1087,0.98,103
New York Mets,Shea Stadium,1273183,1995,NL,NYN,2,144,69,75,657,4958,1323,115,3.88,9,9,36,3873,1296,133,401,901,0.97,96
Philadelphia Phillies,Veterans Stadium,2043598,1995,NL,PHI,2,144,69,75,615,4950,1296,96,4.21,8,8,41,3870,1241,134,538,980,0.98,100
Florida Marlins,Joe Robbie Stadium,1700466,1995,NL,FLO,4,143,67,76,673,4886,1278,115,4.27,12,7,29,3858,1299,139,562,994,0.97,101
Montreal Expos,Stade Olympique,1309618,1995,NL,MON,5,144,66,78,621,4905,1268,109,4.11,7,9,42,3849,1286,128,416,950,0.98,104
Los Angeles Dodgers,Dodger Stadium,2766251,1995,NL,LAN,1,144,78,66,634,4942,1303,130,3.66,16,11,37,3885,1188,125,462,1060,0.97,91
Colorado Rockies,Coors Field,3390037,1995,NL,COL,2,144,77,67,785,4994,1406,107,4.97,1,1,43,3864,1443,160,512,891,0.98,129
San Diego Padres,Jack Murphy Stadium,1041805,1995,NL,SDN,3,144,70,74,668,4950,1345,108,4.13,6,10,35,3852,1242,142,512,1047,0.98,97
San Francisco Giants,Candlestick Park,1241500,1995,NL,SFN,4,144,67,77,652,4971,1256,106,4.86,12,5,34,3879,1368,173,505,801,0.98,96
Cleveland Indians,Jacobs Field,3318174,1996,AL,CLE,1,161,99,62,952,5681,1665,124,4.35,13,9,46,4356,1530,173,484,1033,0.98,99
Chicago White Sox,Comiskey Park II,1676403,1996,AL,CHA,2,162,85,77,898,5644,1586,109,4.53,7,5,43,4383,1529,174,616,1039,0.98,95
Milwaukee Brewers,County Stadium,1327155,1996,AL,ML4,3,162,80,82,894,5662,1578,134,5.17,6,5,42,4341,1570,213,635,846,0.97,104
Minnesota Twins,Hubert H Humphrey Metrodome,1437352,1996,AL,MIN,4,162,78,84,877,5673,1633,94,5.3,13,5,31,4317,1561,233,581,959,0.98,101
Kansas City Royals,Kauffman Stadium,1435997,1996,AL,KCA,5,161,75,86,746,5542,1477,111,4.55,17,8,35,4350,1563,176,460,926,0.98,99
New York Yankees,Yankee Stadium II,2250877,1996,AL,NYA,1,162,92,70,871,5628,1621,91,4.65,6,9,52,4320,1469,143,610,1139,0.98,101
Baltimore Orioles,Oriole Park at Camden Yards,3646950,1996,AL,BAL,2,163,88,74,949,5689,1557,97,5.15,13,2,44,4404,1604,209,597,1047,0.98,100
Boston Red Sox,Fenway Park II,2315231,1996,AL,BOS,3,162,85,77,928,5756,1631,135,5,17,5,37,4374,1606,185,722,1165,0.97,101
Toronto Blue Jays,Skydome,2559573,1996,AL,TOR,4,162,74,88,766,5599,1451,110,4.58,19,7,35,4335,1476,187,610,1033,0.98,99
Detroit Tigers,Tiger Stadium,1168610,1996,AL,DET,5,162,53,109,783,5530,1413,135,6.38,10,4,22,4296,1699,241,784,957,0.97,100
Texas Rangers,The Ballpark at Arlington,2889020,1996,AL,TEX,1,163,90,72,928,5702,1622,87,4.66,19,6,43,4347,1569,168,582,976,0.98,105
Seattle Mariners,Kingdome,2723850,1996,AL,SEA,2,161,85,76,993,5668,1625,110,5.21,4,4,34,4293,1562,216,605,1000,0.98,100
Oakland Athletics,Oakland Coliseum,1148380,1996,AL,OAK,3,162,78,84,861,5630,1492,102,5.2,7,5,34,4368,1638,205,644,884,0.98,101
California Angels,Anaheim Stadium,1820521,1996,AL,CAL,4,161,70,91,762,5686,1571,128,5.31,12,8,38,4317,1546,219,662,1052,0.97,98
St. Louis Cardinals,Busch Stadium II,2654718,1996,NL,SLN,1,162,88,74,759,5502,1468,125,3.98,13,11,43,4356,1380,173,539,1050,0.98,100
Houston Astros,Astrodome,1975888,1996,NL,HOU,2,162,82,80,753,5508,1445,138,4.38,13,4,35,4341,1541,154,539,1163,0.97,92
Cincinnati Reds,Riverfront Stadium,1861428,1996,NL,CIN,3,162,81,81,778,5455,1398,121,4.33,6,8,52,4329,1447,167,591,1089,0.98,101
Chicago Cubs,Wrigley Field,2219110,1996,NL,CHN,4,162,76,86,772,5531,1388,104,4.36,10,11,34,4368,1447,184,546,1027,0.98,103
Pittsburgh Pirates,Three Rivers Stadium,1332150,1996,NL,PIT,5,162,73,89,776,5665,1509,128,4.64,5,7,37,4360,1602,183,479,1044,0.98,104
Atlanta Braves,Atlanta-Fulton County Stadium,2901242,1996,NL,ATL,1,162,96,66,773,5614,1514,130,3.54,14,9,46,4407,1372,120,451,1245,0.98,106
Montreal Expos,Stade Olympique,1616709,1996,NL,MON,2,162,88,74,741,5505,1441,126,3.78,11,7,43,4324,1353,152,482,1206,0.98,102
Florida Marlins,Joe Robbie Stadium,1746767,1996,NL,FLO,3,162,80,82,688,5498,1413,111,3.95,8,13,41,4329,1386,113,598,1050,0.98,97
New York Mets,Shea Stadium,1588323,1996,NL,NYN,4,162,71,91,746,5618,1515,157,4.22,10,10,41,4320,1517,159,532,999,0.97,95
Philadelphia Phillies,Veterans Stadium,1801677,1996,NL,PHI,5,162,67,95,650,5499,1405,115,4.49,12,6,42,4269,1463,160,510,1044,0.98,100
San Diego Padres,Jack Murphy Stadium,2187886,1996,NL,SDN,1,162,91,71,771,5655,1499,118,3.73,5,11,47,4467,1395,138,506,1194,0.98,95
Los Angeles Dodgers,Dodger Stadium,3188454,1996,NL,LAN,2,162,90,72,703,5538,1396,125,3.48,6,9,50,4398,1378,125,534,1212,0.98,93
Colorado Rockies,Coors Field,3891014,1996,NL,COL,3,162,83,79,961,5590,1607,149,5.6,5,5,34,4266,1597,198,624,932,0.97,123
San Francisco Giants,Candlestick Park,1413922,1996,NL,SFN,4,162,68,94,752,5533,1400,134,4.72,9,8,35,4326,1520,194,570,997,0.97,95
Cleveland Indians,Jacobs Field,3404750,1997,AL,CLE,1,161,86,75,868,5556,1589,108,4.73,4,3,39,4275,1528,181,575,1036,0.98,103
Chicago White Sox,Comiskey Park II,1864782,1997,AL,CHA,2,161,80,81,779,5491,1498,125,4.74,6,7,52,4266,1505,175,575,961,0.97,96
Milwaukee Brewers,County Stadium,1444027,1997,AL,ML4,3,161,78,83,681,5444,1415,125,4.22,6,8,44,4282,1419,177,542,1012,0.98,101
Minnesota Twins,Hubert H Humphrey Metrodome,1411064,1997,AL,MIN,4,162,68,94,772,5634,1522,100,5.02,10,4,30,4302,1596,187,495,908,0.98,101
Kansas City Royals,Kauffman Stadium,1517638,1997,AL,KCA,5,161,67,94,747,5599,1478,88,4.71,11,5,29,4329,1530,186,531,961,0.98,101
Baltimore Orioles,Oriole Park at Camden Yards,3711132,1997,AL,BAL,1,162,98,64,812,5584,1498,97,3.91,8,10,59,4383,1404,164,563,1139,0.98,97
New York Yankees,Yankee Stadium II,2580325,1997,AL,NYA,2,162,96,66,891,5710,1636,105,3.84,11,10,51,4401,1463,144,532,1165,0.98,100
Detroit Tigers,Tiger Stadium,1365157,1997,AL,DET,3,162,79,83,784,5481,1415,91,4.56,13,8,42,4335,1476,178,552,982,0.98,99
Boston Red Sox,Fenway Park II,2226136,1997,AL,BOS,4,162,78,84,851,5781,1684,136,4.87,7,4,40,4355,1567,149,610,987,0.97,102
